latitude,longitude,mg,diff
23.94,121.82,5,1.83
22.92,121.45,5.7,0.7
22.97,121.74,5.1,2.97
22.95,121.44,5.2,0.4
22.99,121.38,5,0.17
21.41,121.12,5.1,2.4
21.96,121.55,5.8,3.3
23.28,120.78,5,0.77
24.28,121.91,5.5,0.67
24.07,122.32,5.4,0.23
24.57,121.95,5.2,1.33
23.06,120.48,5.3,1.2
24.51,121.94,5.6,0.4
23.89,123.39,5.4,0.33
22.92,121.45,5.7,0.33
22.89,121.45,5.9,2.9
24.86,123.61,5.2,1.03
21.26,121.83,5.3,1.2
25.07,123.1,5.3,5.7
21.72,121.09,5,0.07
23.9,121.71,5.9,0.57
24.4,123.01,5,0.27
23.79,121.59,5,1.5
24.83,122.36,5.3,2.57
22.95,121.53,5.1,2.6
24.05,122.44,5.3,0.63
24.57,122.48,5.1,0.87
23.83,121.84,5.9,0.23
20.48,121.52,5.5,0.27
22.73,121.63,5,1.43
24.6,122.55,6.5,1.5
22.1,121.72,5,0.63
24.04,122.63,5,0.23
22.39,121.05,5.1,1.97
24.65,122.59,5.7,0
24.16,121.82,5,0.47
24.42,121.56,5.6,1.4
24.08,122.4,5.2,0
24.2,122.42,6.4,0
24.06,122.44,5.1,0.1
24.18,122.4,6.7,0.03
23.09,123.34,5.4,0
24.01,122.53,5.4,0.27
24.33,122.45,5.1,2.2
24.03,122.33,5.7,0.07
24.09,122.37,5.3,0.4
24.1,122.15,6.3,0.03
24.1,122.29,5,0.03
24.01,122.23,5.8,0.07
23.94,122.27,5.1,0
23.96,122.3,5,0.33
24.07,121.77,5,0.07
23.97,122.58,5.1,3.2
20.49,121.03,5.2,0.27
24.14,122.37,5.2,0
24.07,122.52,5.3,0.83
25.48,122.41,5.5,1.47
24.11,122.62,5.9,0.7
24.9,122.44,5.1,0.03
24.91,122.45,5.2,2.17
22.27,122.47,5,0.2
23.93,122.77,5.4,2.03
24.77,122.8,5.1,3.1
24.4,122.64,5.2,0.97
24.8,122.04,5.6,0.5
24.11,122.43,5.5,1.2
